Date,District,Count
2021-06-12,Batticaloa,1778
2021-06-12,Vavuniya,1166
2021-06-12,Mullaitivu,948
2021-06-12,Kilinochchi,1021
2021-06-12,Mannar,630
2021-06-13,Colombo,55316
2021-06-13,Gampaha,38054
2021-06-13,Kalutara,24249
2021-06-13,Kandy,11885
2021-06-13,Kurunagala,11406
2021-06-13,Galle,9281
2021-06-13,Ratnapura,8923
2021-06-13,Matara,5271
2021-06-13,Matale,4570
2021-06-13,Nuwara Eliya,5252
2021-06-13,Kegalle,4141
2021-06-13,Jaffna,3996
2021-06-13,Badulla,4155
2021-06-13,Puttalam,3344
2021-06-13,Anuradhapura,3165
2021-06-13,Hambantota,2739
2021-06-13,Trincomalee,2522
2021-06-13,Monaragala,2316
2021-06-13,Polonnaruwa,1892
2021-06-13,Ampara,1518
2021-06-13,Kalmunai,1540
2021-06-13,Batticaloa,1807
2021-06-13,Vavuniya,1178
2021-06-13,Mullaitivu,952
2021-06-13,Kilinochchi,1075
2021-06-13,Mannar,637
2021-06-14,Colombo,55684
2021-06-14,Gampaha,38595
2021-06-14,Kalutara,24709
2021-06-14,Kandy,11938
2021-06-14,Kurunagala,11530
2021-06-14,Galle,9373
2021-06-14,Ratnapura,8956
2021-06-14,Matara,5378
2021-06-14,Matale,4578
2021-06-14,Nuwara Eliya,5396
2021-06-14,Kegalle,4174
2021-06-14,Jaffna,4087
2021-06-14,Badulla,4240
2021-06-14,Puttalam,3417
2021-06-14,Anuradhapura,3185
2021-06-14,Hambantota,2744
2021-06-14,Trincomalee,2523
2021-06-14,Monaragala,2336
2021-06-14,Polonnaruwa,1897
2021-06-14,Ampara,1520
2021-06-14,Kalmunai,1549
2021-06-14,Batticaloa,1817
2021-06-14,Vavuniya,1218
2021-06-14,Mullaitivu,964
2021-06-14,Kilinochchi,1078
2021-06-14,Mannar,638
2021-06-15,Colombo,55991
2021-06-15,Gampaha,39156
2021-06-15,Kalutara,24982
2021-06-15,Kandy,12033
2021-06-15,Kurunagala,11763
2021-06-15,Galle,9431
2021-06-15,Ratnapura,9242
2021-06-15,Matara,5437
2021-06-15,Matale,4634
2021-06-15,Nuwara Eliya,5567
2021-06-15,Kegalle,4188
2021-06-15,Jaffna,4093
2021-06-15,Badulla,4249
2021-06-15,Puttalam,3457
2021-06-15,Anuradhapura,3210
2021-06-15,Hambantota,2775
2021-06-15,Trincomalee,2533
2021-06-15,Monaragala,2339
2021-06-15,Polonnaruwa,1906
2021-06-15,Ampara,1537
2021-06-15,Kalmunai,1564
2021-06-15,Batticaloa,1855
2021-06-15,Vavuniya,1219
2021-06-15,Mullaitivu,964
2021-06-15,Kilinochchi,1090
2021-06-15,Mannar,638
2021-06-16,Colombo,56264
2021-06-16,Gampaha,39594
2021-06-16,Kalutara,25309
2021-06-16,Kandy,12103
2021-06-16,Kurunagala,11949
2021-06-16,Galle,9465
2021-06-16,Ratnapura,9404
2021-06-16,Matara,5485
2021-06-16,Matale,4638
2021-06-16,Nuwara Eliya,5736
2021-06-16,Kegalle,4226
2021-06-16,Jaffna,4117
2021-06-16,Badulla,4358
2021-06-16,Puttalam,3543
2021-06-16,Anuradhapura,3245
2021-06-16,Hambantota,2783
2021-06-16,Trincomalee,2544
2021-06-16,Monaragala,2362
2021-06-16,Polonnaruwa,1932
2021-06-16,Ampara,1554
2021-06-16,Kalmunai,1611
2021-06-16,Batticaloa,1904
2021-06-16,Vavuniya,1229
2021-06-16,Mullaitivu,964
2021-06-16,Kilinochchi,1095
2021-06-16,Mannar,641
2021-06-17,Colombo,56794
2021-06-17,Gampaha,39864
2021-06-17,Kalutara,25459
2021-06-17,Kandy,12319
2021-06-17,Kurunagala,12123
2021-06-17,Galle,9660
2021-06-17,Ratnapura,9422
2021-06-17,Matara,5603
2021-06-17,Matale,4746
2021-06-17,Nuwara Eliya,5868
2021-06-17,Kegalle,4247
2021-06-17,Jaffna,4256
2021-06-17,Badulla,4397
2021-06-17,Puttalam,3566
2021-06-17,Anuradhapura,3258
2021-06-17,Hambantota,2801
2021-06-17,Trincomalee,2552
2021-06-17,Monaragala,2365
2021-06-17,Polonnaruwa,1934
2021-06-17,Ampara,1565
2021-06-17,Kalmunai,1615
2021-06-17,Batticaloa,1952
2021-06-17,Vavuniya,1247
2021-06-17,Mullaitivu,965
2021-06-17,Kilinochchi,1111
2021-06-17,Mannar,641
2021-06-18,Colombo,57441
2021-06-18,Gampaha,40298
2021-06-18,Kalutara,25663
2021-06-18,Kandy,12389
2021-06-18,Kurunagala,12320
2021-06-18,Galle,9957
2021-06-18,Ratnapura,9450
2021-06-18,Matara,5667
2021-06-18,Matale,4761
2021-06-18,Nuwara Eliya,5869
2021-06-18,Kegalle,4257
2021-06-18,Jaffna,4301
2021-06-18,Badulla,4560
2021-06-18,Puttalam,3604
2021-06-18,Anuradhapura,3286
2021-06-18,Hambantota,2828
2021-06-18,Trincomalee,2566
2021-06-18,Monaragala,2389
2021-06-18,Polonnaruwa,1935
2021-06-18,Ampara,1588
2021-06-18,Kalmunai,1644
2021-06-18,Batticaloa,1978
2021-06-18,Vavuniya,1261
2021-06-18,Mullaitivu,967
2021-06-18,Kilinochchi,1122
2021-06-18,Mannar,647
2021-06-19,Colombo,57932
2021-06-19,Gampaha,40746
2021-06-19,Kalutara,25889
2021-06-19,Kandy,12529
2021-06-19,Kurunagala,12527
2021-06-19,Galle,10058
2021-06-19,Ratnapura,9633
2021-06-19,Matara,5694
2021-06-19,Matale,4774
2021-06-19,Nuwara Eliya,5961
2021-06-19,Kegalle,4290
2021-06-19,Jaffna,4394
2021-06-19,Badulla,4575
2021-06-19,Puttalam,3674
2021-06-19,Anuradhapura,3309
2021-06-19,Hambantota,2853
2021-06-19,Trincomalee,2587
2021-06-19,Monaragala,2393
2021-06-19,Polonnaruwa,1942
2021-06-19,Ampara,1605
2021-06-19,Kalmunai,1662
2021-06-19,Batticaloa,2037
2021-06-19,Vavuniya,1263
2021-06-19,Mullaitivu,972
2021-06-19,Kilinochchi,1134
2021-06-19,Mannar,670
2021-06-20,Colombo,58314
2021-06-20,Gampaha,41153
2021-06-20,Kalutara,26173
2021-06-20,Kandy,12619
2021-06-20,Kurunagala,12643
2021-06-20,Galle,10226
2021-06-20,Ratnapura,9666
2021-06-20,Matara,5785
2021-06-20,Matale,4788
2021-06-20,Nuwara Eliya,6162
2021-06-20,Kegalle,4308
2021-06-20,Jaffna,4453
2021-06-20,Badulla,4629
2021-06-20,Puttalam,3773
2021-06-20,Anuradhapura,3311
2021-06-20,Hambantota,2894
2021-06-20,Trincomalee,2685
2021-06-20,Monaragala,2395
2021-06-20,Polonnaruwa,1968
2021-06-20,Ampara,1607
2021-06-20,Kalmunai,1669
2021-06-20,Batticaloa,2091
2021-06-20,Vavuniya,1289
2021-06-20,Mullaitivu,977
2021-06-20,Kilinochchi,1143
2021-06-20,Mannar,709
2021-06-21,Colombo,58741
2021-06-21,Gampaha,41720
2021-06-21,Kalutara,26483
2021-06-21,Kandy,12646
2021-06-21,Kurunagala,12710
2021-06-21,Galle,10299
2021-06-21,Ratnapura,9692
2021-06-21,Matara,5844
2021-06-21,Matale,4839
2021-06-21,Nuwara Eliya,6249
2021-06-21,Kegalle,4435
2021-06-21,Jaffna,4530
2021-06-21,Badulla,4657
2021-06-21,Puttalam,3785
2021-06-21,Anuradhapura,3350
2021-06-21,Hambantota,2903
2021-06-21,Trincomalee,2697
2021-06-21,Monaragala,2399
2021-06-21,Polonnaruwa,1988
2021-06-21,Ampara,1618
2021-06-21,Kalmunai,1696
2021-06-21,Batticaloa,2125
2021-06-21,Vavuniya,1336
2021-06-21,Mullaitivu,984
2021-06-21,Kilinochchi,1148
2021-06-21,Mannar,722
2021-06-22,Colombo,59060
2021-06-22,Gampaha,42140
2021-06-22,Kalutara,26620
2021-06-22,Kandy,12765
2021-06-22,Kurunagala,12955
2021-06-22,Galle,10365
2021-06-22,Ratnapura,9832
2021-06-22,Matara,5876
2021-06-22,Matale,4881
2021-06-22,Nuwara Eliya,6331
2021-06-22,Kegalle,4451
2021-06-22,Jaffna,4535
2021-06-22,Badulla,4702
2021-06-22,Puttalam,3959
2021-06-22,Anuradhapura,3375
2021-06-22,Hambantota,2910
2021-06-22,Trincomalee,2697
2021-06-22,Monaragala,2421
2021-06-22,Polonnaruwa,2030
2021-06-22,Ampara,1625
2021-06-22,Kalmunai,1719
2021-06-22,Batticaloa,2147
2021-06-22,Vavuniya,1341
2021-06-22,Mullaitivu,984
2021-06-22,Kilinochchi,1149
2021-06-22,Mannar,724
2021-06-23,Colombo,59380
2021-06-23,Gampaha,42410
2021-06-23,Kalutara,26857
2021-06-23,Kandy,12931
2021-06-23,Kurunagala,13023
2021-06-23,Galle,10460
2021-06-23,Ratnapura,9985
2021-06-23,Matara,5956
2021-06-23,Matale,4891
2021-06-23,Nuwara Eliya,6334
2021-06-23,Kegalle,4574
2021-06-23,Jaffna,4576
2021-06-23,Badulla,4746
2021-06-23,Puttalam,4024
2021-06-23,Anuradhapura,3412
2021-06-23,Hambantota,2932
2021-06-23,Trincomalee,2845
2021-06-23,Monaragala,2431
2021-06-23,Polonnaruwa,2054
2021-06-23,Ampara,1632
2021-06-23,Kalmunai,1734
2021-06-23,Batticaloa,2271
2021-06-23,Vavuniya,1348
2021-06-23,Mullaitivu,985
2021-06-23,Kilinochchi,1151
2021-06-23,Mannar,740
2021-06-24,Colombo,59667
2021-06-24,Gampaha,42860
2021-06-24,Kalutara,27041
2021-06-24,Kandy,12956
2021-06-24,Kurunagala,13332
2021-06-24,Galle,10641
2021-06-24,Ratnapura,10041
2021-06-24,Matara,5991
2021-06-24,Matale,4894
2021-06-24,Nuwara Eliya,6473
2021-06-24,Kegalle,4635
2021-06-24,Jaffna,4630
2021-06-24,Badulla,4783
2021-06-24,Puttalam,4077
2021-06-24,Anuradhapura,3442
2021-06-24,Hambantota,2945
2021-06-24,Trincomalee,2845
2021-06-24,Monaragala,2448
2021-06-24,Polonnaruwa,2056
2021-06-24,Ampara,1639
2021-06-24,Kalmunai,1768
2021-06-24,Batticaloa,2307
2021-06-24,Vavuniya,1373
2021-06-24,Mullaitivu,990
2021-06-24,Kilinochchi,1173
2021-06-24,Mannar,743
2021-06-25,Colombo,60023
2021-06-25,Gampaha,43334
2021-06-25,Kalutara,27373
2021-06-25,Kandy,13050
2021-06-25,Kurunagala,13441
2021-06-25,Galle,10723
2021-06-25,Ratnapura,10062
2021-06-25,Matara,6046
2021-06-25,Matale,4909
2021-06-25,Nuwara Eliya,6475
2021-06-25,Kegalle,4816
2021-06-25,Jaffna,4704
2021-06-25,Badulla,4870
2021-06-25,Puttalam,4138
2021-06-25,Anuradhapura,3491
2021-06-25,Hambantota,2959
2021-06-25,Trincomalee,2882
2021-06-25,Monaragala,2486
2021-06-25,Polonnaruwa,2082
2021-06-25,Ampara,1653
2021-06-25,Kalmunai,1778
2021-06-25,Batticaloa,2318
2021-06-25,Vavuniya,1376
2021-06-25,Mullaitivu,992
2021-06-25,Kilinochchi,1177
2021-06-25,Mannar,754
2021-06-26,Colombo,60402
2021-06-26,Gampaha,43688
2021-06-26,Kalutara,27697
2021-06-26,Kandy,13090
2021-06-26,Kurunagala,13579
2021-06-26,Galle,10802
2021-06-26,Ratnapura,10070
2021-06-26,Matara,6079
2021-06-26,Matale,4914
2021-06-26,Nuwara Eliya,6567
2021-06-26,Kegalle,4920
2021-06-26,Jaffna,4710
2021-06-26,Badulla,4931
2021-06-26,Puttalam,4195
2021-06-26,Anuradhapura,3494
2021-06-26,Hambantota,2986
2021-06-26,Trincomalee,2884
2021-06-26,Monaragala,2509
2021-06-26,Polonnaruwa,2095
2021-06-26,Ampara,1654
2021-06-26,Kalmunai,1850
2021-06-26,Batticaloa,2320
2021-06-26,Vavuniya,1414
2021-06-26,Mullaitivu,992
2021-06-26,Kilinochchi,1177
2021-06-26,Mannar,797
2021-06-27,Colombo,60630
2021-06-27,Gampaha,43976
2021-06-27,Kalutara,27838
2021-06-27,Kandy,13140
2021-06-27,Kurunagala,13628
2021-06-27,Galle,10901
2021-06-27,Ratnapura,10342
2021-06-27,Matara,6085
2021-06-27,Matale,4928
2021-06-27,Nuwara Eliya,6636
2021-06-27,Kegalle,4958
2021-06-27,Jaffna,4786
2021-06-27,Badulla,5116
2021-06-27,Puttalam,4258
2021-06-27,Anuradhapura,3499
2021-06-27,Hambantota,2996
2021-06-27,Trincomalee,2893
2021-06-27,Monaragala,2531
2021-06-27,Polonnaruwa,2159
2021-06-27,Ampara,1661
2021-06-27,Kalmunai,1874
2021-06-27,Batticaloa,2375
2021-06-27,Vavuniya,1436
2021-06-27,Mullaitivu,1000
2021-06-27,Kilinochchi,1180
2021-06-27,Mannar,834
2021-06-28,Colombo,60942
2021-06-28,Gampaha,44438
2021-06-28,Kalutara,28100
2021-06-28,Kandy,13194
2021-06-28,Kurunagala,13658
2021-06-28,Galle,10983
2021-06-28,Ratnapura,10544
2021-06-28,Matara,6144
2021-06-28,Matale,4964
2021-06-28,Nuwara Eliya,6640
2021-06-28,Kegalle,5024
2021-06-28,Jaffna,4842
2021-06-28,Badulla,5129
2021-06-28,Puttalam,4273
2021-06-28,Anuradhapura,3542
2021-06-28,Hambantota,2998
2021-06-28,Trincomalee,2913
2021-06-28,Monaragala,2536
2021-06-28,Polonnaruwa,2172
2021-06-28,Ampara,1665
2021-06-28,Kalmunai,1882
2021-06-28,Batticaloa,2401
2021-06-28,Vavuniya,1446
2021-06-28,Mullaitivu,1002
2021-06-28,Kilinochchi,1181
2021-06-28,Mannar,838
2021-06-29,Colombo,61147
2021-06-29,Gampaha,44730
2021-06-29,Kalutara,28356
2021-06-29,Kandy,13224
2021-06-29,Kurunagala,13694
2021-06-29,Galle,11078
2021-06-29,Ratnapura,10664
2021-06-29,Matara,6228
2021-06-29,Matale,4977
2021-06-29,Nuwara Eliya,6726
2021-06-29,Kegalle,5085
2021-06-29,Jaffna,4890
2021-06-29,Badulla,5219
2021-06-29,Puttalam,4390
2021-06-29,Anuradhapura,3579
2021-06-29,Hambantota,3009
2021-06-29,Trincomalee,2919
2021-06-29,Monaragala,2544
2021-06-29,Polonnaruwa,2175
2021-06-29,Ampara,1665
2021-06-29,Kalmunai,1916
2021-06-29,Batticaloa,2403
2021-06-29,Vavuniya,1464
2021-06-29,Mullaitivu,1004
2021-06-29,Kilinochchi,1181
2021-06-29,Mannar,863
2021-06-30,Colombo,61352
2021-06-30,Gampaha,45022
2021-06-30,Kalutara,28612
2021-06-30,Kandy,13254
2021-06-30,Kurunagala,13730
2021-06-30,Galle,11173
2021-06-30,Ratnapura,10784
2021-06-30,Matara,6312
2021-06-30,Matale,4990
2021-06-30,Nuwara Eliya,6812
2021-06-30,Kegalle,5146
2021-06-30,Jaffna,4938
2021-06-30,Badulla,5309
2021-06-30,Puttalam,4507
2021-06-30,Anuradhapura,3616
2021-06-30,Hambantota,3020
2021-06-30,Trincomalee,2925
2021-06-30,Monaragala,2552
2021-06-30,Polonnaruwa,2178
2021-06-30,Ampara,1665
2021-06-30,Kalmunai,1950
2021-06-30,Batticaloa,2405
2021-06-30,Vavuniya,1482
2021-06-30,Mullaitivu,1006
2021-06-30,Kilinochchi,1181
2021-06-30,Mannar,888
2021-07-01,Colombo,61559
2021-07-01,Gampaha,45378
2021-07-01,Kalutara,28799
2021-07-01,Kandy,13305
2021-07-01,Kurunagala,13891
2021-07-01,Galle,11307
2021-07-01,Ratnapura,10858
2021-07-01,Matara,6345
2021-07-01,Matale,5004
2021-07-01,Nuwara Eliya,6812
2021-07-01,Kegalle,5336
2021-07-01,Jaffna,5012
2021-07-01,Badulla,5364
2021-07-01,Puttalam,4557
2021-07-01,Anuradhapura,3617
2021-07-01,Hambantota,3028
2021-07-01,Trincomalee,2931
2021-07-01,Monaragala,2559
2021-07-01,Polonnaruwa,2182
2021-07-01,Ampara,1665
2021-07-01,Kalmunai,1956
2021-07-01,Batticaloa,2452
2021-07-01,Vavuniya,1489
2021-07-01,Mullaitivu,1006
2021-07-01,Kilinochchi,1184
2021-07-01,Mannar,893
